파일명,OCR필요,PDF유형,신뢰도,전체페이지,텍스트페이지,이미지페이지,Producer,Producer유형,스캔점수,평균텍스트
28512_부산회생법원 2025하합1011 유체동산 매각공고.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28991_2025하합441 자산(비품) 매각공고.pdf,False,mixed,0.70,12,10,10,"NesPDF",document_software,5,141
28526_2025하합185 자산매각 및 환가포기 공고1.pdf,True,scanned,0.90,23,0,23,"",unknown,95,0
28649_2025하합279 자산(의약품 등) 매각 공고.pdf,False,text,0.90,18,18,0,"ESTsoft ALPDF",other,5,1446
28614_연합프로파일 25-007 첨부 공구·기구·비품 공매 공고(안).pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.550",document_software,5,767
28887_2025하합191 자산(차량) 매각공고.pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.534",document_software,5,1130
28923_자동차 매각공고.pdf,True,scanned,0.90,8,0,8,"EPSON Scan",scanner,100,0
28916_의정부지방법원 2024하단368 자동차매각공고문.pdf,False,mixed,0.70,18,6,12,"",unknown,20,208
28855_인천지방법원 2024하단102126 첨부서류.pdf,False,mixed,0.70,9,4,5,"",unknown,20,228
28635_2023하합100046호 지적재산권 매각공고(넥스지오).pdf,False,text,0.80,9,9,1,"Microsoft® Word 2010",document_software,5,895
28819_전주지방법원 2024하단10503 매각공고문.pdf,False,mixed,0.70,8,5,3,"",unknown,20,342
28755_2024하합100497 자산 매각 공고.pdf,False,mixed,0.70,18,16,13,"Hancom PDF 1.3.0.538",document_software,5,219
28676_의정부지방법원 2024하단21507 3. 자동차매각공고.pdf,True,scanned,0.90,17,0,17,"",unknown,95,0
28818_24하단20833 병합파일.pdf,False,mixed,0.70,12,6,6,"",unknown,20,260
28615_연합프로파일 25-006 첨부 기계장치·원재료·재공품 공매 공고문hwpx.pdf,False,text,0.80,5,5,1,"Hancom PDF 1.3.0.550",document_software,5,728
28995_매각공고문(입찰서포함).pdf,True,scanned,0.90,6,0,6,"SINDOH D470",scanner,100,0
28802_2024하단10701 차량 매각공고(안).pdf,False,text,0.80,5,5,1,"",unknown,5,687
28792_의정부지방법원 2025하합1006 자동차(2)매각공고(2025하합1006).pdf,False,mixed,0.70,11,5,6,"",unknown,20,189
28881_의정부지방법원 2024하단21659 매각공고문.pdf,False,text,0.80,7,6,1,"",unknown,5,535
28810_정우이엔씨 매각(입찰)공고 입찰서.pdf,True,scanned,0.90,10,0,10,"KONICA MINOLTA bizhub C258",scanner,100,0
28471_2025하합193 유형자산(비품)매각공고.pdf,False,mixed,0.70,13,13,8,"PDF 2022 13.0.0.2151",other,20,452
28610_2025하합209 차량운반구 매각공고(스타렉스1632).pdf,False,mixed,0.70,7,7,3,"ESTsoft ALPDF",other,20,341
28924_자동차 매각공고안(망 강동희).pdf,False,mixed,0.70,9,7,2,"Hancom PDF 1.3.0.509",document_software,5,315
28503_의정부지방법원 2024하단10002 1. 차량 매각공고 및 입찰서, 차량사진.pdf,False,mixed,0.70,8,6,2,"",unknown,20,403
28750_2025하합368 재고자산(상품) 매각공고.pdf,False,text,0.80,11,11,5,"PDF 2022 13.0.0.2151",other,5,714
28849_2024하합100964 자산 매각 공고.pdf,False,text,0.80,9,7,2,"Hancom PDF 1.3.0.509",document_software,5,576
28622_2024하합101203 재고매각공고.pdf,False,text,0.80,8,6,2,"Hancom PDF 1.3.0.509",document_software,5,1024
28579_수원회생법원 2024하단13260 자동차 매각에 관한 공고 허가 신청서.pdf,False,text,0.90,4,4,0,"",unknown,5,601
28758_2025하합368 자동차 매각공고.pdf,False,text,0.80,11,11,6,"Microsoft: Print To PDF",document_software,5,564
28841_2025하합382 차량 매각공고.pdf,True,scanned,0.90,10,0,10,"SINDOH D420",scanner,100,0
28793_의정부지방법원 2025하합1006 자동차(3)매각공고(2025하합1006).pdf,False,mixed,0.70,12,5,7,"",unknown,20,173
28960_2025하합317 자산 재매각 공고(포뮬러이코리아).pdf,False,mixed,0.70,22,10,12,"Microsoft® Word 2019",document_software,5,378
28694_수원회생법원 2024하단14807 허가서(허가서(자동차 매각공고 신청)).pdf,False,mixed,0.70,9,4,5,"PDFium",other,20,325
28974_매각공고문(입찰서포함).pdf,True,scanned,0.90,4,0,4,"SINDOH D470",scanner,100,0
28902_자동차 매각공고안(망 오경민).pdf,False,mixed,0.70,10,7,3,"Hancom PDF 1.3.0.509",document_software,5,290
28962_2025하단5744 자동차 매각공고.pdf,True,scanned,0.80,15,7,9,"ABBYY FineReader PDF 15",scanner,100,193
28889_2025하단6574 자동차 공매공고.pdf,False,text,0.90,3,3,0,"",unknown,5,1073
28984_2025하합272 특허권 일괄공개매각공고1.pdf,False,text,0.90,8,8,0,"Hancom PDF 1.3.0.538",document_software,5,679
28877_인천지방법원 2024하단102779 차량 매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,736
28472_2025하합193 유형자산(컴퓨터 등)매각공고.pdf,False,mixed,0.70,12,12,7,"PDF 2022 13.0.0.2151",other,20,474
28900_1의정부지방법원 2024하단21007 자동차매각공고(레이2017년식)_opt.pdf,False,mixed,0.70,14,6,8,"",unknown,20,311
28830_자동차(소형건설기계) 매각공고.pdf,True,scanned,0.90,6,0,6,"EPSON Scan",scanner,100,0
28833_매각공고문(입찰서포함)-자동차.pdf,True,scanned,0.90,4,0,4,"SINDOH D470",scanner,100,0
28648_2025하합279 자산(차량운반구) 매각 공고.pdf,False,mixed,0.70,6,6,2,"ESTsoft ALPDF",other,20,382
28687_2025하합276 차량 매각공고(심플프로젝트컴퍼니).pdf,True,scanned,0.90,9,0,9,"SINDOH D420",scanner,100,0
28965_2025하합223 자산(차량) 매각공고.pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.534",document_software,5,1130
28613_연합프로파일 25-005 첨부 자동차 공매 공고.pdf,False,text,0.90,4,4,0,"Hancom PDF 1.3.0.550",document_software,5,940
28609_2025하합209 차량운반구 매각공고(스타렉스0233).pdf,False,mixed,0.70,8,8,4,"ESTsoft ALPDF",other,20,307
28956_2025하합269 자동차 매각 공고.pdf,False,text,0.80,8,8,2,"Hancom PDF 1.3.0.550",document_software,5,523
28790_파노비젼 - 특허권매각공고문.pdf,False,mixed,0.70,15,5,10,"Hancom PDF 1.3.0.538",document_software,5,236
28943_2025하합335 자산(차량운반구) 매각공고.pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.538",document_software,5,889
28627_명인컴퍼니(2024하합171) - 출자증권 매가공고문.pdf,True,scanned,0.90,5,0,5,"Adobe PSL 1.3e for Canon??",scanner,100,0
28627_명인컴퍼니(2024하합171) - 출자증권 매가공고문.pdf,ERROR,,,,,,,,,
28985_2024하합101231 출자전환 주식 일괄 공개매각 공고.pdf,False,text,0.80,6,6,6,"Microsoft: Print To PDF",document_software,5,584
28729_2025하합126 출자증권 매각 공고.pdf,True,scanned,0.90,5,0,5,"KONICA MINOLTA bizhub 283",scanner,100,0
28742_2024하합100327 자산매각 및 환가포기공고(매출채권).pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.515",document_software,5,732
28929_2024하합100858 무형자산매각및포기공고.pdf,False,text,0.90,7,7,0," 9.10",other,5,811
28791_의정부지방법원 2025하합1006 자동차(1)매각공고(2025하합1006).pdf,False,mixed,0.70,16,5,11,"",unknown,20,133
28824_채권매각공고안 등(2014하합1).pdf,True,scanned,0.90,10,0,10,"Samsung-K7400LX",other,95,0
28661_수원회생법원 2024하단1304 허가서(채권매각 공고 게재신청).pdf,True,scanned,0.90,6,0,6,"PDFium",other,95,0
28825_매각공고문 및 입찰서(진하우스종합건설).pdf,False,mixed,0.70,9,9,9,"ePapyrus pdfcmd v1.1.0.24 (8eb21f0)",other,20,436
28068_2014하합132 채권 매각공고.pdf,True,scanned,0.90,6,0,6,"SINDOH N501",scanner,100,0
29009_장태현 채권 매각공고[회생채권 및 대여금] 수정.pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.545",document_software,5,554
28697_2024하합100964 상표권 매각 및 환가포기 공고.pdf,False,text,0.80,5,5,1,"Hancom PDF 1.3.0.509",document_software,5,648
28651_2024하합101242 채권 매각 및 유찰조건부 환가포기 공고.pdf,False,text,0.90,17,17,0,"Hancom PDF 1.3.0.538",document_software,5,607
28672_인천지방법원 2024하단101346 채권매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,619
28774_전주지방법원 2024하합1017 채권매각 공고.pdf,False,text,0.90,3,3,0,"",unknown,5,984
28928_2022하합100434 자산매각 및 포기공고(채권).pdf,False,text,0.90,5,5,0,"Microsoft: Print To PDF",document_software,5,929
28820_2025하합252 비상장주식매각 및 환가포기공고.pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.550",document_software,5,726
28731_2024하합101121 자산매각 및 유찰조건부 환가포기 공고.pdf,False,text,0.80,7,7,1,"Hancom PDF 1.3.0.550",document_software,5,599
28534_의정부지방법원 2024하단21244 1. 집기비품 매각공고 및 입찰서, 매각대상 사진.pdf,False,mixed,0.70,13,13,5,"",unknown,20,366
28665_2025하합300 자산 매각 및 환가 포기 허가 공고(상표권).pdf,False,text,0.90,8,8,0,"Microsoft: Print To PDF",document_software,5,666
28680_2023하합7041 자산매각 및 포기 매각공고문(채권).pdf,False,text,0.90,8,8,0,"",unknown,5,786
28848_2024하합100861 출원특허 공매 및 포기 공고.pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.547",document_software,5,710
28468_2025하합185 환가포기안내서.pdf,False,text,0.80,2,2,1,"Hancom PDF 1.3.0.538",document_software,5,512
28934_2022하합100016 채권등 매각공고.pdf,False,text,0.80,7,7,1,"Hancom PDF 1.3.0.542",document_software,5,726
28812_채권매각공고안 등(2014하합1).pdf,True,scanned,0.90,10,0,10,"Samsung-K7400LX",other,95,0
28616_광주지방법원 2024하단5888 채권매각공고(1).pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.538",document_software,5,710
28369_2025하합249 자산(차량) 매각 공고.pdf,False,text,0.90,8,8,0," 9.10",other,5,967
28748_의정부지방법원 2023하합1019 매각공고허가신청서(채권).pdf,False,text,0.90,6,6,0,"",unknown,20,470
28596_의정부지방법원 2024하단3 1. 주식매각 및 자산포기 공고문, 입찰서(채무자 이준범).pdf,False,text,0.90,6,6,0,"",unknown,5,580
28397_2024하합101208 지식재산권 공매공고.pdf,False,text,0.90,2,2,0,"Microsoft: Print To PDF",document_software,5,687
28617_광주지방법원 2024하단5888 채권매각공고(2).pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.538",document_software,5,698
28989_2025하합191 출자증권 매각 공고.pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.534",document_software,5,840
28519_의정부지방법원 2024하합1132 비앤알테크 - 자산포기공고(특허권).pdf,False,mixed,0.70,20,8,16,"",unknown,20,76
28927_2024하합100081 채권 매각 공고(보림프러스).pdf,False,text,0.90,9,9,0,"Hancom PDF 1.3.0.547",document_software,5,625
28650_2025하합271 디자인권 매각 및 유찰조건부 환가 포기 공고.pdf,False,text,0.90,10,10,0,"Hancom PDF 1.3.0.538",document_software,5,574
28969_2024하합101029 자산(기계장치) 매각공고.pdf,False,text,0.80,9,9,2,"Hancom PDF 1.3.0.538",document_software,5,660
28658_포기안내서(채권) - 에스티이엔(알레그로).pdf,False,mixed,0.70,9,2,7,"PDF 2020 11.0.0.2086",other,20,107
28645_2024하합101067 자산매각 및 환가포기공고(모니터).pdf,False,text,0.80,7,6,1,"Hancom PDF 1.3.0.515",document_software,5,642
28467_2025하합185 환가포기안내서.pdf,False,text,0.80,2,2,1,"Hancom PDF 1.3.0.538",document_software,5,512
28702_2025하합356 자산(채권) 매각 공고.pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.550",document_software,5,656
28701_2025하합250 자산매각 및 포기공고.pdf,False,mixed,0.70,7,6,2,"NesPDF",other,20,484
28968_2025하합239 자산 매각 및 포기공고.pdf,False,mixed,0.70,17,17,10,"Hancom PDF 1.3.0.538",document_software,5,453
28869_2025하합356 자산포기 안내서.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.550",document_software,5,456
28805_의정부지방법원 2024하단21725 자동차매각공고.pdf,False,text,0.80,6,5,1,"",unknown,5,596
28967_2024하합14호 상표권 매각 및 포기공고.pdf,False,text,0.80,3,3,1,"Hancom PDF 1.3.0.542",document_software,5,1018
28779_포기안내서(채권)-한국전자물류.pdf,False,mixed,0.70,29,2,27,"PDF 2020 11.0.0.2086",other,20,39
28685_2023하합100300 자산포기안내서(매출채권).pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.515",document_software,5,692
28700_2025하합208 자산매각 및 포기 공고.pdf,False,mixed,0.70,7,6,2,"NesPDF",other,20,494
28752_수원회생법원 2024하단13811 채권매각공고.pdf,False,mixed,0.70,8,5,3,"",unknown,20,445
28654_2024하합101042 채권 매각공고.pdf,False,text,0.80,5,5,5,"Microsoft: Print To PDF",document_software,5,669
28821_2025하합252 비상장주식매각및환가포기공고1.pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.550",document_software,5,730
28725_2024하합101222 자산포기안내서.pdf,False,mixed,0.70,2,2,1,"Hancom PDF 1.3.0.550",document_software,5,488
28683_2024하합100680 자산 매각(포기) 공고1.pdf,False,text,0.90,9,9,0,"Hancom PDF 1.3.0.547",document_software,5,682
28777_2024하합101237 자산매각 및 포기공고(상표권).pdf,False,text,0.80,5,4,2,"Hancom PDF 1.3.0.547",document_software,5,639
28264_채권 매각공고.pdf,False,text,0.90,3,3,0,"Hancom PDF 1.3.0.538",document_software,5,775
28625_2024하합100301 채권 매각 공고1.pdf,False,text,0.90,6,6,0,"ezPDF Builder Supreme",other,5,590
28668_2022하합100434 자산매각공고(채권)1.pdf,False,text,0.90,5,5,0,"Microsoft: Print To PDF",document_software,5,854
28604_울산지방법원 2023하합508 자산포기공고.pdf,False,text,0.90,2,2,0,"",unknown,20,444
28822_2023하합100300 자산포기안내서(특허권).pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.515",document_software,5,564
28704_2022하합100138호 자산 매각 및 유찰조건부 포기공고.pdf,False,text,0.90,10,10,0,"Hancom PDF 1.3.0.459",document_software,5,656
28892_인터마인즈 - 매출채권, 선급금 매각공고문.pdf,True,scanned,0.90,5,0,5,"Adobe PSL 1.3e for Canon??",scanner,100,0
28892_인터마인즈 - 매출채권, 선급금 매각공고문.pdf,ERROR,,,,,,,,,
28873_2025하합388 재고자산매각공고.pdf,False,mixed,0.70,11,11,5,"Hancom PDF 1.3.0.550",document_software,5,477
28872_2025하합388 지식재산권매각 공고.pdf,False,text,0.80,8,8,2,"Hancom PDF 1.3.0.550",document_software,5,684
28686_2024하합100777 자산포기안내서(매출채권).pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.515",document_software,5,628
28706_2009하합25호 채권포기안내서.pdf,True,scanned,0.90,3,0,3,"DocuCentre-V C2263",other,95,0
28966_2025하합178 채권 등 공매공고.pdf,False,mixed,0.70,7,6,2,"NesPDF",other,20,499
28068_2014하합132 채권 매각공고 (1).pdf,True,scanned,0.90,6,0,6,"SINDOH N501",scanner,100,0
28145_매각공고문 및 입찰서(토파즈-채권).pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.538",document_software,5,632
28585_2024하합101215 자산(출자증권) 매각 공고.pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.538",document_software,5,815
28935_2025하합221 자산(의류) 매각 및 포기공고.pdf,False,text,0.80,12,12,4," 9.10",other,5,566
