파일명,OCR필요,PDF유형,신뢰도,전체페이지,텍스트페이지,이미지페이지,Producer,Producer유형,스캔점수,평균텍스트
28756_2025하합115  자산(특허권) 매각 및 포기공고.pdf,False,text,0.80,6,4,2,"Hancom PDF 1.3.0.547",document_software,5,540
28993_2024하합100799 채권 매각 공고.pdf,False,text,0.90,4,4,0,"Hancom PDF 1.3.0.538",document_software,5,721
28523_2025하합291 지식재산권(상표권) 일괄 매각공고.pdf,False,text,0.80,7,7,1,"Hancom PDF 1.3.0.547",document_software,5,696
28976_의정부지방법원 2023하단20553 채권매각공고 신청.pdf,False,text,0.90,4,4,0,"",unknown,5,532
28894_2024하단107237 비상장주식 매각공고.pdf,True,scanned,0.90,6,0,6,"",unknown,95,0
28932_춘천지방법원 2024하합1001 지적재산권(특허,상표권) 매각공고 신청.pdf,False,text,0.90,6,6,0,"",unknown,5,655
28771_2025하합274 자산매각 및 환가포기 공고.pdf,True,scanned,0.90,14,0,14,"",unknown,95,0
28773_2025하합7011 지적재산권 매각 및 환가 포기공고.pdf,True,scanned,0.90,7,0,7,"",unknown,95,0
28633_2024하합100674 지적재산권(특허권) 매각공고(워커맨).pdf,True,scanned,0.90,7,0,7,"SINDOH D420",scanner,100,0
28688_2025하합276 지적재산권 매각공고(심플프로젝트컴퍼니).pdf,True,scanned,0.90,24,0,24,"SINDOH D420",scanner,100,0
28930_춘천지방법원 2024하합1005 지적재산권(특허권) 매각공고 신청.pdf,False,text,0.90,5,5,0,"",unknown,5,543
28707_의정부지방법원 2025하합1036 1. 자산포기 안내서.pdf,False,text,0.90,2,2,0,"",unknown,20,432
28987_2025하합367 자산 매각 공고.pdf,False,text,0.80,5,5,1,"Hancom PDF 1.3.0.404",document_software,5,585
28659_(4부)액트테라퓨틱스(2024하합556) - 특허권매각공고문.pdf,True,scanned,0.90,6,0,6,"Adobe PSL 1.3e for Canon??",scanner,100,0
28659_(4부)액트테라퓨틱스(2024하합556) - 특허권매각공고문.pdf,ERROR,,,,,,,,,
28945_자산매각공고(주식회사 디투리소스).pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.550",document_software,5,677
28931_춘천지방법원 2024하합1001 지적재산권(특허,상표권) 매각공고 신청.pdf,False,text,0.90,6,6,0,"",unknown,5,655
28834_매각공고문(입찰서포함)-상표권.pdf,True,scanned,0.90,4,0,4,"SINDOH D470",scanner,100,0
29001_2023하합100825 자산 매각 및 환가 포기 공고(상표권).pdf,False,text,0.90,8,8,0,"Microsoft® Word 2021",document_software,5,658
28466_2025하합185 자산매각 및 환가포기 공고(지적재산권).pdf,True,scanned,0.90,20,0,20,"",unknown,95,0
28628_명인컴퍼니(2024하합171) - 특허권매각공고문.pdf,True,scanned,0.90,5,0,5,"Adobe PSL 1.3e for Canon??",scanner,100,0
28628_명인컴퍼니(2024하합171) - 특허권매각공고문.pdf,ERROR,,,,,,,,,
28922_인천지방법원 2025하합4 지식재산권(특허권) 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,770
28655_2024하합101249 지적재산권 매각 및 환가포기공고.pdf,True,scanned,0.90,6,0,6,"SINDOH D420",scanner,100,0
28871_2025하합131 자산매각공고1.pdf,False,mixed,0.70,7,7,3,"Hancom PDF 1.3.0.538",document_software,5,434
28884_2025하합353 자산 매각 공고.pdf,False,mixed,0.70,9,9,4,"Hancom PDF 1.3.0.547",document_software,5,453
28955_자산매각 공고문.pdf,False,mixed,0.70,11,9,3,"Hancom PDF 1.3.0.538",document_software,5,466
28959_2025하합304 자산(비품) 매각공고1.pdf,False,text,0.80,7,5,2,"Microsoft: Print To PDF",document_software,5,617
28832_특허권(2건) 매각공고.pdf,True,scanned,0.90,5,0,5,"EPSON Scan",scanner,100,0
28865_엔씨씨 - 특허권매각공고문.pdf,True,scanned,0.90,6,0,6,"Adobe PSL 1.3e for Canon??",scanner,100,0
28865_엔씨씨 - 특허권매각공고문.pdf,ERROR,,,,,,,,,
28856_2025하합365 무형자산(상표권 등) 일괄공개매각공고.pdf,False,text,0.80,9,9,3,"Hancom PDF 1.3.0.538",document_software,5,705
28983_2025하합378 자산 매각 및 환가포기 공고(지적재산권).pdf,False,text,0.90,14,14,0,"Hancom PDF 1.3.0.542",document_software,5,536
27941_2024하단103793 부동산매각공고.pdf,False,mixed,0.70,5,1,4,"",unknown,20,117
28681_대구지방법원 2024하단12332 부동산 매각공고.pdf,False,text,0.90,6,6,0,"",unknown,5,639
28906_인천지방법원 2024하단101392 매각공고 .pdf,False,text,0.90,4,4,0,"",unknown,5,756
28586_2024하단103746 부동산 매각공고 .pdf,True,scanned,0.90,7,0,7,"",unknown,95,0
28624_인천지방법원 2024하단1449 부동산 지분 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,581
28326_2024하단102329 부동산 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,602
28914_인천지방법원 2024하단100541 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,20,496
28946_의정부지방법원 2025하합1032 유체동산(차량용 액세서리) 매각 및 환가 포기 공고 .pdf,False,mixed,0.70,33,33,10,"",unknown,20,437
28636_2024하단102454 부동산매각공고1.pdf,True,scanned,0.90,4,0,4,"DocuCentre-V C2265",other,95,0
28979_부산회생법원 2022하단513 부동산 매각 공고문.pdf,False,text,0.80,6,6,1,"",unknown,5,697
28803_2024하단10892 부동산 매각 및 포기 공고.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28589_의정부지방법원 2024하단21143 고성식 - 부동산매각공고.pdf,False,mixed,0.70,18,8,14,"",unknown,20,258
28738_24-102016 자산매각공고내역서4.pdf,False,text,0.80,6,6,1,"",unknown,5,668
28493_수원회생법원 2024하단12071 부동산 매각에 관한 공고허가 신청서.pdf,False,text,0.90,5,5,0,"",unknown,20,495
28878_인천지방법원 2024하단102779 부동산 매각공고 .pdf,False,text,0.90,4,4,0,"",unknown,5,755
28800_부산회생법원 2024하단70474 매각공고문 및 입찰서.pdf,False,text,0.90,5,5,0,"",unknown,5,723
28351_수원회생법원 2025하단10056 허가서(회원권 매각공고 허가신청서).pdf,False,mixed,0.70,19,6,13,"PDFium",other,20,175
28608_인천지방법원 2024하단980 부동산 상속지분 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,577
28739_24-102016 자산매각공고내역서5.pdf,False,text,0.80,6,6,1,"",unknown,5,663
28684_2024하단1105 부동산 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,650
28770_2025하합139 자산매각공고(상품).pdf,False,text,0.80,5,5,1,"Microsoft: Print To PDF",document_software,5,757
28600_인천지방법원 2024하단100690 임의매각공고(박병규).pdf,False,text,0.90,5,5,0,"",unknown,5,602
28548_수원회생법원 2024하단13632 허가서(자산매각 공고 허가신청).pdf,True,scanned,0.90,9,0,9,"PDFium",other,95,0
28971_창원지방법원 2024하단10305 부동산 매각공고 및 입찰서.pdf,False,text,0.90,12,12,0,"",unknown,5,513
28221_2024하단100973 매각공고문 및 입찰서 .pdf,False,text,0.90,12,12,0,"",unknown,20,443
28664_2023하단102788 부동산 매각공고(입찰서).pdf,False,text,0.90,4,4,0,"",unknown,5,557
28837_2024하단10732 파산재단 매각공고..pdf,False,text,0.80,5,5,1,"",unknown,5,673
28975_의정부지방법원 2024하단21255 부동산 매각공고 신청.pdf,False,text,0.90,4,4,0,"",unknown,5,665
28314_2024하단107138 부동산 매각공고(입찰서).pdf,False,text,0.90,4,4,0,"",unknown,5,540
28926_인천지방법원 2025하단100293 부동산 상속지분 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,604
28986_의정부지방법원 2024하단20995 신경애- 대법원 매각공고 및 입찰서(지분매각).pdf,False,text,0.90,4,4,0,"",unknown,5,880
28950_의정부지방법원 2025하합1032 특허권 등 매각 및 환가 포기 공고 .pdf,False,text,0.90,7,7,0,"",unknown,5,563
28231_대구지방법원 2024하단10120 부동산 매각 공고 허가 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,793
28870_의정부지방법원 2022하단21240 부동산매각공고신청.pdf,False,text,0.80,5,5,1,"",unknown,5,513
28217_32기 정명관 부동산매각공고(2차) 법원공고용_compressed.pdf,False,mixed,0.70,11,11,6,"iLovePDF",other,20,429
28735_24-102016 자산매각공고내역서.pdf,False,text,0.80,6,6,1,"",unknown,5,671
28567_의정부지방법원 2024하단20072 1. 부동산 매각공고 및 입찰서.pdf,False,mixed,0.70,12,9,5,"",unknown,20,398
28838_2023하단10765 파산재단 매각공고(부동산).pdf,False,text,0.80,5,5,1,"",unknown,5,690
28626_수원회생법원 2021하단2456 허가서(자산매각 공고 게재 허가신청).pdf,False,text,0.80,6,6,2,"PDFium",other,5,627
28457_04. 부동산매각공고문(덕남리 1294-13).pdf,False,text,0.80,8,8,2,"",unknown,5,596
28743_2024하단104987  부동산매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,818
28917_인천지방법원 2024하단100623 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,571
28559_2024하단103628 부동산 매각 공고1.pdf,False,text,0.90,4,4,0,"",unknown,5,692
28747_인천지방법원 2023하단102599 매각공고문 및 첨부서류.pdf,True,scanned,0.90,8,0,8,"",unknown,95,0
28899_부산회생법원 2024하단100090 부동산 매각 공고문.pdf,False,text,0.80,6,6,1,"",unknown,5,675
28423_인천지방법원 2024하합31 매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,769
28638_인천지방법원 2024하단101001 부동산 매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,740
28948_의정부지방법원 2025하합1032  유체동산(지게차) 매각 및 환가 포기 공고 .pdf,False,text,0.80,5,5,1,"",unknown,5,541
28373_대구지방법원 2024하단10233 채무자 김도환의 재산매각 공고.pdf,False,text,0.90,6,6,0,"",unknown,5,507
28480_2024하합100600 자산(부동산) 매각공고.pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.509",document_software,5,803
28370_대구지방법원 2024하단10678 망 김태수의 상속재산 매각공고.pdf,False,text,0.90,6,6,0,"",unknown,5,521
28797_부산회생법원 2024하단100973 매각공고문 및 입찰서.pdf,False,text,0.90,10,10,0,"",unknown,20,494
28778_부산회생법원 2024하단470 부동산 매각 공고.pdf,False,text,0.80,6,6,1,"",unknown,5,626
28573_부동산매각공고안(이충현).pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.509",document_software,5,586
28663_2025하단5507 부동산 매각공고(입찰서).pdf,False,text,0.90,4,4,0,"",unknown,5,553
28456_03. 부동산매각공고문(제주비치 220호, 221호).pdf,False,text,0.80,12,12,3,"",unknown,5,634
28485_2024하단102239 부동산매각공고.pdf,True,scanned,0.90,4,0,4,"",unknown,95,0
28385_인천지방법원 2024하단158 부동산 매각공고 게시신청.pdf,True,scanned,0.90,4,0,4,"",unknown,95,0
28769_2025하합302 자산매각공고(비품).pdf,False,text,0.80,6,6,1,"Microsoft: Print To PDF",document_software,5,674
28527_2024하단100748 부동산 매각공고1.pdf,False,text,0.90,6,6,0,"",unknown,5,585
28371_대구지방법원 2024하단11251 채무자 정숙자의 부동산 매각 공고.pdf,False,text,0.90,6,6,0,"",unknown,5,626
28789_인천지방법원 2021하단1282 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,507
28272_부산회생법원 2025하단100076 자산(집합건물 지분) 매각 공고.pdf,False,text,0.90,4,4,0,"",unknown,5,718
28135_수원회생법원 2023하단186 3-1. 부동산매각공고(별지).pdf,False,text,0.90,4,4,0,"",unknown,5,610
28054_2024하단100665 부동산매각공고1.pdf,False,mixed,0.70,10,6,4,"",unknown,20,433
28907_2024하단10622 부동산매각공고.pdf,True,scanned,0.90,9,0,9,"SINDOH D420",scanner,100,0
28982_2025하합378 자산 매각 및 환가 포기공고(완제품,반제품).pdf,False,mixed,0.70,15,11,5,"Hancom PDF 1.3.0.542",document_software,5,465
28953_2024하단1567 부동산매각공고.pdf,True,scanned,0.90,8,0,8,"",unknown,95,0
28711_2024하단10693 매각공고(부동산 지분).pdf,True,scanned,0.90,4,0,4,"",unknown,95,0
28759_2024하단107113 부동산 매각공고.pdf,True,scanned,0.90,4,0,4,"RICOH IM C2010",scanner,100,0
28954_광주지방법원 2024하단5915 부동산매각공고.pdf,False,text,0.90,3,3,0,"Hancom PDF 1.3.0.538",document_software,5,713
28794_2025하합176 동산(사무실집기 등) 공매공고.pdf,False,text,0.80,2,2,1,"Microsoft: Print To PDF",document_software,5,896
28479_수원회생법원 2024하단1136 부동산 매각공고안.pdf,False,text,0.90,4,4,0,"",unknown,5,660
28740_24-102016 자산매각공고내역서6.pdf,False,text,0.80,6,6,1,"",unknown,5,701
28996_2025하단5376 부동산 매각공고.pdf,False,mixed,0.70,8,5,3,"",unknown,20,310
28942_2025하합335 자산(재고자산) 매각공고.pdf,False,mixed,0.70,8,6,8,"NesPDF",document_software,5,163
28940_부산회생법원 2023하단404 매각공고문 및 입찰서.pdf,False,text,0.90,5,5,0,"",unknown,5,705
28453_인천지방법원 2024하단100122 1. 부동산 매각공고.pdf,False,text,0.80,5,5,2,"",unknown,5,644
28862_인천지방법원 2024하단1295 1. 자동차매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,649
28525_수원회생법원 2024하단12071 부동산 매각에 관한 공고허가 신청서 (1).pdf,False,text,0.90,5,5,0,"",unknown,20,495
28997_2025하단5376 부동산 매각공고.pdf,False,mixed,0.70,8,5,3,"",unknown,20,310
28522_24-439 부동산매각공고문.pdf,True,scanned,0.90,6,0,6,"",unknown,95,0
28864_2025하합189 자산매각공고(비품)1.pdf,False,text,0.80,8,8,4,"Microsoft: Print To PDF",document_software,5,537
26802_청주지방법원 2021하합6 자산매각공고게재허가신청(부동산).pdf,False,text,0.90,12,12,0,"",unknown,5,528
28905_2024하단102329 부동산 매각공고1.pdf,False,text,0.90,5,5,0,"",unknown,5,621
28918_인천지방법원 2024하단16 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,522
28776_강채현 부동산매각공고 및 입찰서.pdf,False,text,0.80,5,5,1,"Hancom PDF 1.3.0.545",document_software,5,788
28814_매각공고문(자동차).pdf,False,text,0.80,5,5,3,"Microsoft: Print To PDF",document_software,5,818
28634_2024하합100995 채권 매각 및 환가포기공고(까레몽협동조합).pdf,False,text,0.80,5,5,5,"Microsoft: Print To PDF",document_software,5,724
28846_24-101785 법원공고를 통한 부동산 매각 허가신청.pdf,False,mixed,0.70,9,9,2,"",unknown,20,431
28220_2024하단100951 매각공고문 및 입찰서 .pdf,False,text,0.90,5,5,0,"",unknown,5,707
28823_2025하합379 자산매각공고(비품 및 시설장치).pdf,False,mixed,0.70,11,11,6,"Microsoft: Print To PDF",document_software,5,416
28913_인천지방법원 2024하단100541 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,503
28766_2025하단5206 부동산 매각공고.pdf,True,scanned,0.90,4,0,4,"SINDOH D420",scanner,100,0
28721_2025하합148 부동산 공매공고.pdf,False,text,0.90,4,4,0,"NesPDF",other,5,827
28815_의정부지방법원 2024하합1122 부동산 매각 및 포기공고.pdf,True,scanned,0.90,8,0,8,"",unknown,95,0
28746_대구지방법원 2023하단1071 부동산매각공고(노원동3가 702-6).pdf,False,text,0.50,5,4,0,"",unknown,20,494
28594_2024하합101126 자산매각공고(마스크기계)1.pdf,False,text,0.80,6,5,2,"Hancom PDF 1.3.0.550",document_software,5,694
28981_2025하합378 자산 매각 및 환가 포기공고(비품).pdf,False,mixed,0.70,13,10,4,"Hancom PDF 1.3.0.542",document_software,5,480
28164_2024하단103780 부동산 매각공고.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28677_인천지방법원 2024하단102777 매각공고 .pdf,False,text,0.90,4,4,0,"",unknown,5,763
28745_대구지방법원 2023하단1071 부동산매각공고(국우동647-1).pdf,False,text,0.90,4,4,0,"",unknown,5,592
28486_2024하단102765 부동산매각공고1.pdf,True,scanned,0.90,4,0,4,"",unknown,95,0
28921_인천지방법원 2024하단102032 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,547
28690_인천지방법원 2024하단101756 임의매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,694
28671_인천지방법원 2024하단102250 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,568
28775_2차 부동산매각공고 및 입찰서[2023하단10598 망 이상권].pdf,False,text,0.80,6,6,1,"Hancom PDF 1.3.0.545",document_software,5,714
28716_전주지법 2024하단10503.pdf,False,text,0.90,5,5,0,"",unknown,20,464
28174_2025하합168 자산매각공고.pdf,True,scanned,0.90,11,0,11,"",unknown,95,0
28910_2025하단5360 부동산 매각공고.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28279_수원회생법원 2023하단13453 4-1. 부동산매각공고(별지).pdf,False,text,0.90,4,4,0,"",unknown,5,548
26801_청주지방법원 2024하합2 자산매각공고게재허가신청(부동산).pdf,False,text,0.90,12,12,0,"",unknown,5,579
28835_광주지방법원 2024하단5956 부동산 매각공고(추가).pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28584_부산회생법원 2024하단809 첨부1_부동산매각공고문(아미동2가 32-44).pdf,False,mixed,0.70,10,6,5,"",unknown,20,352
28669_인천지방법원 2024하단102145 채권매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,532
28808_2025하합136 자산 매각 공고.pdf,False,text,0.80,9,9,5,"Microsoft® Word 2019",document_software,5,1165
28618_전주지방법원 2024하단405 부동산 매각에 관한 공고게재 신청.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28811_인천지방법원 2024하단102411 매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,732
28601_인천지방법원 2024하단101321 임의매각공고(성현숙).pdf,False,text,0.90,5,5,0,"",unknown,5,597
28546_수원회생법원 2024하단13361 부동산(상속지분) 매각에 관한 공고게재신청.pdf,False,text,0.90,4,4,0,"",unknown,5,718
28358_2023하단105972 부동산매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,714
28796_부산회생법원 2024하단100951 매각공고문 및 입찰서.pdf,False,text,0.90,5,5,0,"",unknown,5,708
28915_인천지방법원 2024하단102032 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,558
28558_2025하단5113 부동산 매각공고.pdf,True,scanned,0.90,4,0,4,"RICOH IM C3000",scanner,100,0
28563_2024하단676 매각(부동산) 및 포기 공고.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28214_30기 장성재 부동산매각공고(4차) 공고용.pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.538",document_software,5,805
28643_인천지방법원 2024하단101001 부동산 매각공고 게시 신청.pdf,False,text,0.90,5,5,0,"",unknown,5,721
28657_2024하단102842 부동산 매각공고.pdf,False,text,0.90,7,7,0,"",unknown,5,574
28560_2024하단106396 부동산 매각 공고2.pdf,False,text,0.90,4,4,0,"",unknown,5,797
28970_의정부지방법원 2025하단20034 부동산 매각공고 및 입찰서.pdf,False,text,0.90,5,5,0,"",unknown,5,538
28417_2024하단1431 부동산 매각공고.pdf,False,text,0.80,12,8,6,"",unknown,5,524
28839_2025하합290 자산 매각공고 및 환가 포기 공고1.pdf,False,mixed,0.70,38,37,23,"Hancom PDF 1.3.0.538",document_software,5,343
28619_2024하단10563 매각공고(태안군).pdf,False,text,0.90,5,5,0,"",unknown,5,530
28858_2024하단106862 부동산 매각공고.pdf,False,mixed,0.70,4,1,3,"",unknown,20,100
28891_2024하단103780 부동산 매각공고1.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28761_창원지방법원 2023하단957 부동산 매각공고(망박민규).pdf,False,text,0.80,7,7,7,"",unknown,5,572
28783_2023하합100724 자산 환가포기 공고.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.538",document_software,5,398
29000_2024하단10827 매각공고(부동산).pdf,False,text,0.90,6,6,0,"",unknown,5,517
28952_2024하단107432 부동산매각공고.pdf,False,mixed,0.70,6,6,6,"Microsoft: Print To PDF",document_software,5,282
28762_창원지방법원 2024하단66 부동산 매각공고(손지원).pdf,False,text,0.80,5,5,5,"",unknown,5,785
28319_24-814 채권매각공고내역서.pdf,False,text,0.80,7,7,1,"",unknown,5,729
28933_춘천지방법원 2024하단1146 부동산 매각공고 신청.pdf,False,text,0.80,5,5,5,"",unknown,5,701
28352_수원회생법원 2024하단1408 허가서(부동산매각공고 허가신청서).pdf,False,mixed,0.70,9,5,4,"PDFium",other,20,314
28581_울산지방법원 2025하단5 부동산매각공고 및 응찰서(정정).pdf,False,text,0.90,4,4,0,"",unknown,20,490
28703_부동산매각공고안(망 강동희).pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.509",document_software,5,594
28646_2024하합100965 자산 포기 공고.pdf,False,text,0.90,1,1,0,"Hancom PDF 1.3.0.538",document_software,5,914
27345_수원회생법원 2024하단11536 허가서(부동산지분매각공고 신청서).pdf,False,text,0.90,5,5,0,"PDFium",other,5,666
28215_33기 최춘근 부동산매각공고(4회) 공고용_compressed.pdf,False,mixed,0.70,10,5,5,"iLovePDF",other,20,432
28712_2024하단10661 파산재단 자산매각(부동산) 공고.pdf,False,text,0.80,5,5,1,"",unknown,5,701
28845_24-604 부동산 매각 공고.pdf,False,text,0.80,5,5,1,"",unknown,5,730
28890_2024하단104150 부동산 매각공고1.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28603_광주지방법원 2024하단6079 부동산매각공고.pdf,False,text,0.90,3,3,0,"Hancom PDF 1.3.0.538",document_software,5,710
28781_2024하합100626 환가의 포기 공고.pdf,False,text,0.90,3,3,0,"Hancom PDF 1.3.0.534",document_software,5,711
28553_2024하단102485 부동산 매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,536
28390_의정부지방법원 2024하단20552 매각공고문.pdf,False,text,0.80,15,15,3,"",unknown,5,933
28763_의정부지방법원 2024하단20363 부동산매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,672
28859_유체동산 매각 및 포기공고.pdf,False,text,0.80,7,7,2,"Hancom PDF 1.3.0.506",document_software,5,544
28734_24-102016 자산매각공고내역서1.pdf,False,text,0.80,6,6,1,"",unknown,5,629
28980_2025하합378 자산 매각 공고(자동차).pdf,False,mixed,0.70,12,8,4,"Hancom PDF 1.3.0.542",document_software,5,464
28919_인천지방법원 2024하단16 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,523
28597_24-366 자산매각공고내역서.pdf,False,text,0.80,6,6,1,"",unknown,5,626
28813_2024하단103188 부동산 매각공고.pdf,False,text,0.90,4,4,0,"Hancom PDF 1.3.0.550",document_software,5,820
28958_2024하단1408 부동산 매각공고.pdf,False,text,0.90,4,4,0,"",unknown,20,490
28882_24-101785 법원공고.pdf,False,text,0.80,6,6,1,"",unknown,5,529
28836_2025하단6574 부동산 매각공고.pdf,False,text,0.90,4,4,0,"",unknown,20,482
28364_울산지방법원 2024하단425 매각공고문.pdf,False,text,0.90,6,6,0,"",unknown,5,548
28717_전주지방법원 2024하단10504 매각공고문.pdf,False,text,0.90,5,5,0,"",unknown,20,476
28737_24-102016 자산매각공고내역서2.pdf,False,text,0.80,6,6,1,"",unknown,5,693
28500_대구지방법원 2024하단11497 부동산 매각 공고 및 입찰서(경북 포항시 남구 오천읍 문덕리 산156-170).pdf,False,text,0.90,5,5,0,"",unknown,5,592
28715_수원회생법원 2024하단15042 부동산매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,708
28879_인천지방법원 2024하단102779 부동산지분 매각공고 .pdf,False,text,0.90,5,5,0,"",unknown,5,635
28518_2024하단10574 매각공고 및 입찰서.pdf,False,text,0.90,6,6,0,"",unknown,5,557
28223_2024하단100951 매각공고문 및 입찰서(2) .pdf,False,text,0.90,5,5,0,"",unknown,5,708
28499_대구지방법원 2024하단11497 부동산 매각 공고 및 입찰서(경북 영덕군 영덕읍 오보리 366-1).pdf,False,text,0.90,5,5,0,"",unknown,5,589
28202_대구지방법원 2022하단529 부동산매각공고.pdf,False,text,0.90,4,4,0,"",unknown,5,652
28893_2024하단101797 부동산 매각공고1.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28372_대구지방법원 2023하단262 채무자 김봉균의 부동산 매각 공고.pdf,False,text,0.90,7,7,0,"",unknown,5,532
28222_2024하단100952 매각공고문 및 입찰서.pdf,False,text,0.90,5,5,0,"",unknown,5,730
28826_엔씨씨 - 차량운반구 매각공고문.pdf,False,mixed,0.70,13,5,8,"Hancom PDF 1.3.0.538",document_software,5,243
28682_창원지방법원 2023하단10964 부동산 매각공고 및 응찰서.pdf,False,text,0.90,8,8,0,"",unknown,5,704
28920_인천지방법원 2023하단102092 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,549
28163_2024하단101797 부동산 매각공고.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28713_창원지방법원 2023하단10983 부동산 매각공고 및 응찰서.pdf,False,text,0.90,4,4,0,"",unknown,5,522
28678_의정부지방법원 2024하단21768 1. 부동산 매각공고 및 입찰서.pdf,False,text,0.90,6,6,0,"",unknown,5,579
28213_8기 김재선 부동산매각공고(2차) 임야 공고용_compressed.pdf,False,mixed,0.70,26,5,21,"iLovePDF",other,20,157
28949_의정부지방법원 2025하합1032 유체동산(컴퓨터 및 에어컨 등) 매각 및 환가 포기 공고 .pdf,False,mixed,0.70,6,6,1,"",unknown,20,474
28749_창원지방법원 2023하단11330 부동산 매각공고 및 응찰서(1).pdf,False,text,0.90,4,4,0,"",unknown,5,524
28212_8기 김재선 부동산매각공고(2차) 대지 공고용_compressed.pdf,False,mixed,0.70,22,5,17,"iLovePDF",other,20,180
28788_대구지방법원 2024하단1159 자산(부동산)매각공고.pdf,False,text,0.90,5,5,0,"",unknown,5,572
28904_광주지방법원 2024하단5733 부동산매각공고.pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.538",document_software,5,628
28780_부동산매각공고.pdf,False,text,0.80,17,17,7,"itext-paulo-155 (itextpdf.sf.net-lowagie.com)",document_software,5,1048
28637_2024하단105554 부동산매각공고2.pdf,True,scanned,0.90,5,0,5,"DocuCentre-V C2265",other,95,0
28211_8기 김재선 부동산매각공고(2차) 답 공고용_compressed.pdf,False,mixed,0.70,29,5,24,"iLovePDF",other,20,152
28218_30기 송희영(부동산매각공고)-상속지분 매각(4차) 공고용_compressed.pdf,False,text,0.80,6,5,1,"iLovePDF",other,5,713
28963_대구지방법원 2024하단287 매각공고안.pdf,False,text,0.90,6,6,0,"",unknown,20,413
28620_2024하단10563 매각공고(연천군).pdf,False,text,0.90,5,5,0,"",unknown,5,563
28478_수원회생법원 2023하단12532 부동산매각에 관한 공고게재신청.pdf,False,text,0.90,4,4,0,"",unknown,5,577
28639_인천지방법원 2024하단101139 채권매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,599
28719_2025하합362 자산매각공고(비품).pdf,False,mixed,0.70,11,4,7,"Microsoft: Print To PDF",document_software,5,382
28947_의정부지방법원 2025하합1032 유체동산(차량용 키케이스) 매각 및 환가 포기 공고 .pdf,False,mixed,0.70,11,6,6,"",unknown,20,282
28730_파산재단 자산 매각공고-현이노베이션.pdf,False,mixed,0.70,18,8,11,"PDF 2020 11.0.0.2086",other,20,296
28528_2024하단104560 부동산 매각공고1.pdf,False,text,0.90,6,6,0,"",unknown,5,547
28809_2024하단106899 부동산 매각 공고.pdf,False,text,0.90,4,4,0,"",unknown,5,707
28210_8기 김재선 부동산매각공고(2차) 전 공고용_compressed.pdf,False,mixed,0.70,20,5,15,"iLovePDF",other,20,215
28670_인천지방법원 2024하단101774 부동산 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,535
